level,uuid,major,minor,color,powerLevel,interval
1,c43f9c48-b5d7-4d4d-8d4b-509019e5a659,00101,00001,#FFFFFFFF,4 (-8 dBm),330
1,651da94a-9267-401a-9d2c-65e523bf92d1,00101,00002,#FFFFFFFF,4 (-8 dBm),330
1,50204943-9245-4317-8b3e-ede7d881b471,00101,00003,#FFFFFFFF,4 (-8 dBm),330
1,149b831b-277a-4408-ac79-b9557dedebdf,00101,00004,#FFFFFFFF,4 (-8 dBm),330
1,a13dfda1-e314-4757-9d85-1a82487c4ed2,00101,00005,#FFFFFFFF,4 (-8 dBm),330
1,3f0aa8a6-6280-44c9-8c1c-3243ee38d714,00101,00006,#FFFFFFFF,4 (-8 dBm),330
1,647aa952-ba29-4edb-bc42-2d3c837789e1,00101,00007,#FFFFFFFF,4 (-8 dBm),330
1,a4f1ffca-5fcc-4717-ab01-9cebcc25cd5a,00101,00008,#FFFFFFFF,4 (-8 dBm),330
1,33bcee85-6991-4e6a-8243-b38b84563e92,00101,00009,#FFFFFFFF,4 (-8 dBm),330
1,ffcf20c8-1c04-4e38-a3e7-c5692a6e02e6,00101,00010,#FFFFFFFF,4 (-8 dBm),330
1,5e8d7687-0cd1-44ee-8c91-6f7cf79fffb5,00101,00011,#FFFFFFFF,4 (-8 dBm),330
1,b0ccb9b1-07e3-4032-b84d-b17ed0f3347b,00101,00012,#FFFFFFFF,4 (-8 dBm),330
1,7c1891d7-f75f-4879-8272-8bcc27bc0d0a,00101,00013,#FFFFFFFF,4 (-8 dBm),330
1,1df83a78-1cb3-4603-a5ad-3c0a8fc14a28,00101,00014,#FFFFFFFF,4 (-8 dBm),330
1,d42c2996-5020-441b-85bd-0046889311b0,00101,00015,#FFFFFFFF,4 (-8 dBm),330
1,95c6f0fb-ae77-475d-b242-c7546522fc67,00101,00016,#FFFFFFFF,4 (-8 dBm),330
1,3d32c1a4-1dca-4ea1-aa05-ba2d18288c78,00101,00017,#FFFFFFFF,4 (-8 dBm),330
1,d74acb5d-4a9a-4dbc-aae4-ae1fe1926ec2,00101,00018,#FFFFFFFF,4 (-8 dBm),330
1,fe6c07b7-9cc0-4062-bb37-f988cd727bee,00101,00019,#FFFFFFFF,4 (-8 dBm),330
1,6feb1df0-0a6a-42ac-834b-d93b7ccb33cb,00101,00020,#FFFFFFFF,4 (-8 dBm),330
1,61252b29-2705-4012-b6af-2f8a35b1da10,00101,00021,#FFFFFFFF,4 (-8 dBm),330
1,30257d83-4a1b-4efc-af20-9ef9770f84ae,00101,00022,#FFFFFFFF,4 (-8 dBm),330
1,06a44201-8a7c-4287-a51b-5439fa0ad4bb,00101,00023,#FFFFFFFF,4 (-8 dBm),330
1,ca423b55-e524-48f4-83e8-8b3117c35fe0,00101,00024,#FFFFFFFF,4 (-8 dBm),330
1,249f0f6f-512f-40bd-b62f-a24409df06a4,00101,00025,#FFFFFFFF,4 (-8 dBm),330
1,7c66a7b2-c656-4761-8352-137e7240f7ad,00101,00026,#FFFFFFFF,4 (-8 dBm),330
1,8d3677b8-2382-4dbd-91b8-816b54c9bf12,00101,00027,#FFFFFFFF,4 (-8 dBm),330
1,413c6e22-74c8-40cf-b734-2ede9dd3825e,00101,00028,#FFFFFFFF,4 (-8 dBm),330
1,99273311-cf73-4e2e-8619-9bfa2653af4e,00101,00029,#FFFFFFFF,4 (-8 dBm),330
1,7461e1ce-6df0-4bb0-8667-92f839035e8a,00101,00030,#FFFFFFFF,4 (-8 dBm),330
1,6ca83623-b2ef-46c6-a624-26c04a7266e0,00101,00031,#FFFFFFFF,4 (-8 dBm),330
1,365c50a6-c1e0-4a7a-a2f1-6e05ca4fc00b,00101,00032,#FFFFFFFF,4 (-8 dBm),330
1,a36c9e49-9871-4fc2-b276-304b823c0f40,00101,00033,#FFFFFFFF,4 (-8 dBm),330
1,478ecae5-2010-4ac7-a60e-5dfe79bd5f6e,00101,00034,#FFFFFFFF,4 (-8 dBm),330
1,065a4b90-5bfa-4131-8607-5acaddea7680,00101,00035,#FFFFFFFF,4 (-8 dBm),330
1,f407d2ca-a799-49bf-9a9f-22ceb1f2187c,00101,00036,#FFFFFFFF,4 (-8 dBm),330
1,ef27d114-e1aa-432f-8fd2-6b15b904c0d1,00101,00037,#FFFFFFFF,4 (-8 dBm),330
1,c4db22bd-9380-4e4a-891d-d74a945312dc,00101,00038,#FFFFFFFF,4 (-8 dBm),330
3,00fe88e5-a6f4-4f4d-8d83-fc8fb8a591fd,00103,00001,#FFFFFFFF,4 (-8 dBm),330
3,ae01abec-278a-4b01-b938-566cc65b90ce,00103,00002,#FFFFFFFF,4 (-8 dBm),330
3,837120e2-cc41-4bc3-aa79-0f8010afcb81,00103,00003,#FFFFFFFF,4 (-8 dBm),330
3,0e1566e4-99b3-4165-87c3-b48114ca9b22,00103,00004,#FFFFFFFF,4 (-8 dBm),330
3,f89e7f77-25ca-4766-aa0a-5c79bc9176a1,00103,00005,#FFFFFFFF,4 (-8 dBm),330
3,89c475f7-1823-4593-ab76-27d285e8668f,00103,00006,#FFFFFFFF,4 (-8 dBm),330
3,17332429-31b0-4ed0-ac24-487f5866b516,00103,00007,#FFFFFFFF,4 (-8 dBm),330
